date,factor,rank_ic,number_of_stocks
2016-02-19,macd_hist_atr,-0.16344940037870817,97
2016-02-19,breakout_position_60,-0.34617609930570165,97
2016-02-19,trend_r2_20,-0.09067957079739111,97
2016-02-19,realized_vol_5,0.4270329265726909,97
2016-02-19,realized_vol_20,0.3678729223648221,97
2016-02-19,vol_ratio_5_20,0.258297391121397,97
2016-02-19,parkinson_vol_20,0.461471702082895,97
2016-02-19,overnight_vol_20,0.35321112981274977,97
2016-02-19,downside_vol_20,0.4057174416158216,97
2016-02-19,volume_zscore_20,0.03584578161161372,97
2016-02-19,volume_trend_5_20,0.15442878182200712,97
2016-02-19,amihud_illiq_20,0.18995897328003367,97
2016-02-19,signed_volume_pressure_20,-0.3258073848095939,97
2016-02-19,volume_cv_20,0.1912870818430465,97
2016-02-19,return_volume_corr_20,-0.22516042499474015,97
2016-02-19,close_location_value,-0.17763780770039972,97
2016-02-19,body_range_ratio,-0.29865348201136116,97
2016-02-19,gap_followthrough_20,-0.23177466863033871,97
2016-02-19,cs_rank_ret20,-0.298995371344414,97
2016-02-19,cs_rank_ret60,-0.1293393646118241,97
2016-02-19,cs_rank_vol20,0.3678729223648221,97
2016-02-19,cs_rank_amihud20,0.18995897328003367,97
2016-02-19,return_autocorr_20,0.1422654113191668,97
2016-02-19,revenue_growth_yoy,0.0025033762653983846,45
2016-02-19,gross_margin_change_yoy,0.1542076902525836,42
2016-02-19,operating_profitability,0.14533104516989753,63
2016-02-19,cashflow_to_assets,-0.38432331632450034,36
2016-02-19,debt_to_assets,-0.11334813786998701,49
2016-02-19,asset_growth_yoy,0.13933265741042888,69
2016-02-26,ret_1d,0.2379549758047549,97
2016-02-26,ret_5d,-0.01722596254996844,97
2016-02-26,ret_20d,-0.1486035135703766,97
2016-02-26,ret_60d,-0.30692457395329265,97
2016-02-26,ret_120d,-0.34605263157894733,96
2016-02-26,momentum_20_5,-0.10790553334735954,97
2016-02-26,overnight_gap,0.23328687144961074,97
2016-02-26,intraday_return,0.16041395454198987,97
2016-02-26,ema20_distance,-0.17862402693035978,97
2016-02-26,ema60_distance,-0.34292815064169996,97
2016-02-26,ema20_60_spread,-0.33923311592678307,97
2016-02-26,rsi14_centered,-0.2873579844308857,97
2016-02-26,macd_hist_atr,-0.2555754260467073,97
2016-02-26,breakout_position_60,-0.27994161582158633,97
2016-02-26,trend_r2_20,-0.01443824952661477,97
2016-02-26,realized_vol_5,0.10081790448138017,97
2016-02-26,realized_vol_20,0.29415632232274347,97
