date,factor,rank_ic,number_of_stocks
2016-02-05,body_range_ratio,0.013675573322112349,97
2016-02-05,gap_followthrough_20,0.11152167052387965,97
2016-02-05,cs_rank_ret20,-0.2812960235640648,97
2016-02-05,cs_rank_ret60,-0.20505470229328843,97
2016-02-05,cs_rank_vol20,0.15122028192720385,97
2016-02-05,cs_rank_amihud20,-0.02532610982537345,97
2016-02-05,return_autocorr_20,0.06296023564064801,97
2016-02-05,revenue_growth_yoy,-0.2188477882540377,45
2016-02-05,gross_margin_change_yoy,-0.07074267661088045,42
2016-02-05,operating_profitability,0.21571120989861653,62
2016-02-05,cashflow_to_assets,-0.12626295154532313,36
2016-02-05,debt_to_assets,-0.12558026457771587,48
2016-02-05,asset_growth_yoy,-0.13469228053711524,68
2016-02-12,ret_1d,-0.06410424994740165,97
2016-02-12,ret_5d,0.09149484536082472,97
2016-02-12,ret_20d,0.09227067115505996,97
2016-02-12,ret_60d,-0.0040895224069009035,97
2016-02-12,ret_120d,,0
2016-02-12,momentum_20_5,0.0353986955606985,97
2016-02-12,overnight_gap,0.0354775930990953,97
2016-02-12,intraday_return,-0.12058173784977907,97
2016-02-12,ema20_distance,0.08873343151693665,97
2016-02-12,ema60_distance,0.08858878602987585,97
2016-02-12,ema20_60_spread,0.062447401641068795,97
2016-02-12,rsi14_centered,0.0940590153587208,97
2016-02-12,macd_hist_atr,-0.031874605512308016,97
2016-02-12,breakout_position_60,0.051441195034714914,97
2016-02-12,trend_r2_20,0.18514622343782874,97
2016-02-12,realized_vol_5,-0.09129760151483271,97
2016-02-12,realized_vol_20,-0.22969703345255627,97
2016-02-12,vol_ratio_5_20,0.08753681885125185,97
2016-02-12,parkinson_vol_20,-0.21365453397853984,97
2016-02-12,overnight_vol_20,-0.2681727330107301,97
2016-02-12,downside_vol_20,-0.23397065011571636,97
2016-02-12,volume_zscore_20,-0.007495266147696192,97
2016-02-12,volume_trend_5_20,-0.009270460761624237,97
2016-02-12,amihud_illiq_20,-0.09562381653692405,97
2016-02-12,signed_volume_pressure_20,0.09710972017673047,97
2016-02-12,volume_cv_20,-0.15392909741216074,97
2016-02-12,return_volume_corr_20,0.1695376604249947,97
2016-02-12,close_location_value,-0.058502524721228695,97
2016-02-12,body_range_ratio,-0.06706290763728172,97
2016-02-12,gap_followthrough_20,0.013820218809173153,97
2016-02-12,cs_rank_ret20,0.09227067115505996,97
2016-02-12,cs_rank_ret60,-0.0040895224069009035,97
2016-02-12,cs_rank_vol20,-0.22969703345255627,97
2016-02-12,cs_rank_amihud20,-0.09562381653692405,97
2016-02-12,return_autocorr_20,-0.0548074900063118,97
2016-02-12,revenue_growth_yoy,0.06923811723509742,45
2016-02-12,gross_margin_change_yoy,-0.17000931904882838,42
2016-02-12,operating_profitability,0.17682980573290744,62
2016-02-12,cashflow_to_assets,0.2469914414021153,36
2016-02-12,debt_to_assets,0.26502335882883504,49
2016-02-12,asset_growth_yoy,-0.0024239648049048657,68
2016-02-19,ret_1d,-0.018685812722695923,97
2016-02-19,ret_5d,0.22478204270356378,97
2016-02-19,ret_20d,-0.24970084292137432,97
2016-02-19,ret_60d,-0.22349336596406752,97
2016-02-19,ret_120d,,0
2016-02-19,momentum_20_5,-0.3477980722748659,97
2016-02-19,overnight_gap,-0.021657659081126098,97
2016-02-19,intraday_return,-0.11462648100192847,97
2016-02-19,ema20_distance,-0.15218220312439124,97
2016-02-19,ema60_distance,-0.33063763201932883,97
2016-02-19,ema20_60_spread,-0.4121530106737919,97
2016-02-19,rsi14_centered,-0.2695306849944394,97
2016-02-19,macd_hist_atr,-0.017186739780832915,97
2016-02-19,breakout_position_60,-0.32110405409958603,97
2016-02-19,trend_r2_20,-0.08755111970985888,97
2016-02-19,realized_vol_5,0.29438373639901033,97
2016-02-19,realized_vol_20,0.3937433429667024,97
2016-02-19,vol_ratio_5_20,0.0163057056834222,97
2016-02-19,parkinson_vol_20,0.39799071630198085,97
2016-02-19,overnight_vol_20,0.3323471011635586,97
2016-02-19,downside_vol_20,0.4109300827475353,97
2016-02-19,volume_zscore_20,-0.008323799756134075,97
2016-02-19,volume_trend_5_20,-0.011453443266339304,97
2016-02-19,amihud_illiq_20,0.3370810157168102,97
2016-02-19,signed_volume_pressure_20,-0.22561047775038282,97
2016-02-19,volume_cv_20,0.2978289742127656,97
2016-02-19,return_volume_corr_20,-0.19476113457835983,97
2016-02-19,close_location_value,-0.13955843098238693,97
2016-02-19,body_range_ratio,-0.17582547636535342,97
2016-02-19,gap_followthrough_20,-0.0056280984133102435,97
2016-02-19,cs_rank_ret20,-0.24970084292137432,97
2016-02-19,cs_rank_ret60,-0.22349336596406752,97
2016-02-19,cs_rank_vol20,0.3937433429667024,97
2016-02-19,cs_rank_amihud20,0.3370810157168102,97
2016-02-19,return_autocorr_20,0.06513077439515336,97
2016-02-19,revenue_growth_yoy,0.034454362810614605,45
2016-02-19,gross_margin_change_yoy,-0.19237470134505175,42
2016-02-19,operating_profitability,-0.163020389561345,63
2016-02-19,cashflow_to_assets,-0.28624750686727685,36
2016-02-19,debt_to_assets,-0.16877185589196178,49
2016-02-19,asset_growth_yoy,0.21593182255031718,69
2016-02-26,ret_1d,-0.0045892068167473175,97
2016-02-26,ret_5d,-0.029586576898800756,97
2016-02-26,ret_20d,-0.05831843046496949,97
2016-02-26,ret_60d,-0.1408189564485588,97
2016-02-26,ret_120d,-0.18988062940857298,96
2016-02-26,momentum_20_5,-0.06001472754050073,97
2016-02-26,overnight_gap,0.0705475489164738,97
2016-02-26,intraday_return,-0.05274369798081165,97
2016-02-26,ema20_distance,-0.19778297917104984,97
2016-02-26,ema60_distance,-0.19374605512308013,97
2016-02-26,ema20_60_spread,-0.18529086892488955,97
2016-02-26,rsi14_centered,-0.19433778666105617,97
2016-02-26,macd_hist_atr,-0.2137728802861351,97
2016-02-26,breakout_position_60,-0.06409110035766884,97
2016-02-26,trend_r2_20,-0.15143067536292865,97
2016-02-26,realized_vol_5,0.17339049021670522,97
2016-02-26,realized_vol_20,0.1446454870608037,97
2016-02-26,vol_ratio_5_20,0.05171733641910372,97
2016-02-26,parkinson_vol_20,0.14388281085630128,97
2016-02-26,overnight_vol_20,0.02320902587839259,97
2016-02-26,downside_vol_20,0.15864980012623603,97
2016-02-26,volume_zscore_20,-0.0859194193141174,97
2016-02-26,volume_trend_5_20,-0.1730486008836524,97
2016-02-26,amihud_illiq_20,-0.021841468546181356,97
2016-02-26,signed_volume_pressure_20,-0.03791026719966337,97
2016-02-26,volume_cv_20,0.07791131916684199,97
2016-02-26,return_volume_corr_20,0.04096097201767304,97
2016-02-26,close_location_value,0.04368293709236271,97
2016-02-26,body_range_ratio,0.01363630386589421,97
2016-02-26,gap_followthrough_20,0.06773353671365452,97
2016-02-26,cs_rank_ret20,-0.05831843046496949,97
2016-02-26,cs_rank_ret60,-0.1408189564485588,97
2016-02-26,cs_rank_vol20,0.1446454870608037,97
2016-02-26,cs_rank_amihud20,-0.021841468546181356,97
2016-02-26,return_autocorr_20,-0.10856301283399956,97
2016-02-26,revenue_growth_yoy,-0.2789946969463726,45
2016-02-26,gross_margin_change_yoy,-0.14361762384230367,43
2016-02-26,operating_profitability,0.04445137830795215,63
2016-02-26,cashflow_to_assets,0.15097496652667075,36
2016-02-26,debt_to_assets,-0.1856607122412861,49
2016-02-26,asset_growth_yoy,-0.2523771682345713,69
2016-03-04,ret_1d,-0.15729590947877667,97
2016-03-04,ret_5d,0.003090163745821143,97
2016-03-04,ret_20d,0.006693163177118986,97
2016-03-04,ret_60d,-0.2572199703489676,97
2016-03-04,ret_120d,-0.20513498757235282,96
2016-03-04,momentum_20_5,-0.0239060327229908,97
2016-03-04,overnight_gap,0.05634636247082416,97
2016-03-04,intraday_return,-0.15223330078881436,97
2016-03-04,ema20_distance,0.09386865489167757,97
2016-03-04,ema60_distance,-0.04712828453201266,97
2016-03-04,ema20_60_spread,-0.2554316202662796,97
2016-03-04,rsi14_centered,-0.010118642563444127,97
2016-03-04,macd_hist_atr,0.2963598528572086,97
2016-03-04,breakout_position_60,-0.1997494994931748,97
2016-03-04,trend_r2_20,0.060830202077313225,97
2016-03-04,realized_vol_5,0.19484468639874375,97
2016-03-04,realized_vol_20,0.29916729949436943,97
2016-03-04,vol_ratio_5_20,-0.041750084650987784,97
2016-03-04,parkinson_vol_20,0.29760906798849796,97
2016-03-04,overnight_vol_20,0.36477081833650427,97
2016-03-04,downside_vol_20,0.28241466710213065,97
2016-03-04,volume_zscore_20,0.015431094279664303,97
2016-03-04,volume_trend_5_20,-0.010486832286350476,97
2016-03-04,amihud_illiq_20,0.24460947233942512,97
2016-03-04,signed_volume_pressure_20,-0.13945185755077968,97
2016-03-04,volume_cv_20,0.19881587555294794,97
2016-03-04,return_volume_corr_20,-0.1109697525573814,97
2016-03-04,close_location_value,-0.2470224299877578,97
2016-03-04,body_range_ratio,-0.1536337366991546,97
2016-03-04,gap_followthrough_20,0.08864167578970353,97
2016-03-04,cs_rank_ret20,0.006693163177118986,97
2016-03-04,cs_rank_ret60,-0.2572199703489676,97
2016-03-04,cs_rank_vol20,0.29916729949436943,97
2016-03-04,cs_rank_amihud20,0.24460947233942512,97
2016-03-04,return_autocorr_20,0.11443468084258934,97
2016-03-04,revenue_growth_yoy,-0.09479890647127039,45
2016-03-04,gross_margin_change_yoy,0.03835844001676669,43
2016-03-04,operating_profitability,-0.040224819425934664,64
2016-03-04,cashflow_to_assets,-0.06614901321560285,37
2016-03-04,debt_to_assets,0.02686141467786454,49
2016-03-04,asset_growth_yoy,0.0537490486333981,70
2016-03-11,ret_1d,0.10505207237534189,97
2016-03-11,ret_5d,0.19557384809593936,97
2016-03-11,ret_20d,0.08075163054912687,97
2016-03-11,ret_60d,-0.09138964864296233,97
2016-03-11,ret_120d,-0.20434074877916442,96
2016-03-11,momentum_20_5,-0.08686618977487902,97
2016-03-11,overnight_gap,0.08242162844519249,97
2016-03-11,intraday_return,0.1220285938775328,97
2016-03-11,ema20_distance,0.12799810645907847,97
2016-03-11,ema60_distance,-0.052374815905743735,97
2016-03-11,ema20_60_spread,-0.17002419524510834,97
2016-03-11,rsi14_centered,0.008481485377656216,97
2016-03-11,macd_hist_atr,0.12359299389859037,97
2016-03-11,breakout_position_60,-0.05846307595203029,97
2016-03-11,trend_r2_20,-0.12440826846202398,97
2016-03-11,realized_vol_5,0.07149431937723541,97
2016-03-11,realized_vol_20,0.14559225752156532,97
2016-03-11,vol_ratio_5_20,-0.15456027771933517,97
2016-03-11,parkinson_vol_20,0.11087734062697242,97
2016-03-11,overnight_vol_20,0.16229223648222174,97
2016-03-11,downside_vol_20,0.1605170418682937,97
2016-03-11,volume_zscore_20,-0.12386913528297916,97
2016-03-11,volume_trend_5_20,0.07980486008836524,97
2016-03-11,amihud_illiq_20,0.13206132968651377,97
2016-03-11,signed_volume_pressure_20,-0.01839627603618767,97
2016-03-11,volume_cv_20,0.1526535872080791,97
2016-03-11,return_volume_corr_20,-0.12761676835682725,97
2016-03-11,close_location_value,0.05482063959604459,97
2016-03-11,body_range_ratio,0.10380320259366851,97
2016-03-11,gap_followthrough_20,0.0745844729644435,97
2016-03-11,cs_rank_ret20,0.08075163054912687,97
2016-03-11,cs_rank_ret60,-0.09138964864296233,97
2016-03-11,cs_rank_vol20,0.14559225752156532,97
2016-03-11,cs_rank_amihud20,0.13206132968651377,97
2016-03-11,return_autocorr_20,0.04990269303597728,97
2016-03-11,revenue_growth_yoy,-0.16146776911819577,45
2016-03-11,gross_margin_change_yoy,0.2552950505840319,43
2016-03-11,operating_profitability,-0.13198411154838552,64
2016-03-11,cashflow_to_assets,0.019915741125175395,38
2016-03-11,debt_to_assets,-0.15835978501151698,49
2016-03-11,asset_growth_yoy,-0.028764139307716954,70
2016-03-18,ret_1d,0.05413864071147882,97
2016-03-18,ret_5d,-0.048681381567620745,97
2016-03-18,ret_20d,0.0951009593454979,97
2016-03-18,ret_60d,0.11578594400402503,97
2016-03-18,ret_120d,0.22549598140955845,96
2016-03-18,momentum_20_5,0.09226055458628503,97
2016-03-18,overnight_gap,0.24859459153027727,97
2016-03-18,intraday_return,-0.03568258478761181,97
2016-03-18,ema20_distance,0.04827373088458556,97
2016-03-18,ema60_distance,0.10232689645284733,97
2016-03-18,ema20_60_spread,0.19746073085342872,97
2016-03-18,rsi14_centered,0.08100413572570063,97
2016-03-18,macd_hist_atr,-0.04758992973884913,97
2016-03-18,breakout_position_60,0.007074711853965413,97
2016-03-18,trend_r2_20,0.1528558561161598,97
2016-03-18,realized_vol_5,0.11532569323285627,97
2016-03-18,realized_vol_20,0.03944349108916219,97
2016-03-18,vol_ratio_5_20,0.15632088692195883,97
2016-03-18,parkinson_vol_20,0.12259765541732259,97
2016-03-18,overnight_vol_20,-0.10667955374590041,97
2016-03-18,downside_vol_20,-0.04256662132209302,97
2016-03-18,volume_zscore_20,0.020698134680560525,97
2016-03-18,volume_trend_5_20,0.09500233418024745,97
2016-03-18,amihud_illiq_20,0.1586484408218694,97
2016-03-18,signed_volume_pressure_20,0.11313621456429634,97
2016-03-18,volume_cv_20,-0.04352657293053071,97
2016-03-18,return_volume_corr_20,0.25147444635559035,97
2016-03-18,close_location_value,0.007916313264102564,97
2016-03-18,body_range_ratio,0.014491324280799045,97
2016-03-18,gap_followthrough_20,-0.1958498531543381,97
2016-03-18,cs_rank_ret20,0.0951009593454979,97
2016-03-18,cs_rank_ret60,0.11578594400402503,97
2016-03-18,cs_rank_vol20,0.03944349108916219,97
2016-03-18,cs_rank_amihud20,0.1586484408218694,97
2016-03-18,return_autocorr_20,0.1451762432486583,97
2016-03-18,revenue_growth_yoy,-0.0008018504274875019,46
2016-03-18,gross_margin_change_yoy,0.015481629824062365,43
2016-03-18,operating_profitability,-0.24080319883161053,63
2016-03-18,cashflow_to_assets,-0.23763405559203327,38
2016-03-18,debt_to_assets,0.21775842011444083,50
2016-03-18,asset_growth_yoy,-0.06552113337138867,70
2016-03-24,ret_1d,-0.042236482221754676,97
2016-03-24,ret_5d,0.03766042499474016,97
2016-03-24,ret_20d,0.007403219019566589,97
2016-03-24,ret_60d,0.2039238375762676,97
2016-03-24,ret_120d,0.19758573532505783,97
2016-03-24,momentum_20_5,0.028179570797391116,97
2016-03-24,overnight_gap,-0.00011834630759520303,97
2016-03-24,intraday_return,-0.030994601932707214,97
2016-03-24,ema20_distance,0.02307752998106459,97
2016-03-24,ema60_distance,0.18726330738480956,97
2016-03-24,ema20_60_spread,0.23808647170208286,97
