factor,family,eligible_weeks,mean_rank_ic,median_rank_ic,ic_std,icir,annualized_icir,positive_ic_ratio,negative_ic_ratio,direction,q1,q2,q3,q4,q5,q5_q1,direction_adjusted_top_bottom,monotonicity,coverage,missing_rate,average_stocks_per_eligible_week,minimum_stocks_per_eligible_week,early_mean_ic,late_mean_ic,low_vix_mean_ic,high_vix_mean_ic,max_abs_correlation,evidence_score,evidence_flag,final_role,selection_reason
downside_vol_20,volatility,313,-0.012848015867045842,-0.014509625079053663,0.17346755171488304,-0.07406581657509793,-0.5340961988412525,0.46325878594249204,0.536741214057508,negative,0.0008884929611297413,0.0009525577102149186,0.000658202810619675,0.0005583430088616787,0.0005016501728929806,-0.0003868427882367607,0.0003868427882367607,-0.8999999999999998,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.002340999682873075,-0.027940286094990746,-0.011114087164432258,-0.014593059497240275,0.8566936693669367,5,Moderate,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
volume_zscore_20,volume_liquidity,313,-0.0054904731273598935,-0.00264026402640264,0.11777099241549256,-0.04661991051234134,-0.33618095561957867,0.48562300319488816,0.5143769968051118,negative,0.0006563063433384495,0.0007593915920369174,0.0007257742889874198,0.0008479183126195344,0.0005566016729178629,-9.97046704205866e-05,9.97046704205866e-05,-0.09999999999999999,0.9989431545236189,0.0010568454763810742,99.65495207667732,96,-0.009802722145176702,-0.0012056906637966953,-0.006444479434779508,-0.004530351394892716,0.5563516351635164,3,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
volume_trend_5_20,volume_liquidity,313,-6.359667309796748e-05,-0.0025202520252025204,0.123733425029512,-0.0005139813521107887,-0.00370637223933552,0.48881789137380194,0.5111821086261981,negative,0.0003269146999982605,0.0009128148369976045,0.0008248883423845701,0.0007915451878952345,0.0006851240189834792,0.00035820931898521873,0.00035820931898521873,0.0,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.0016659847950472651,-0.0017821616987709382,0.004700174351798003,-0.004857904691743273,0.5563516351635164,2,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
amihud_illiq_20,volume_liquidity,313,0.00794365116886188,0.011389138913891388,0.17416900930299273,0.04560886693133062,0.328890216673453,0.5271565495207667,0.4728434504792332,positive,0.0007260077608840998,0.0005189523545754921,0.001030904715700592,0.00035591876564665235,0.0009161122904742955,0.00019010452959019567,0.00019010452959019567,0.09999999999999999,0.9989431545236189,0.0010568454763810742,99.65495207667732,96,0.028114812312385735,-0.01209903124126373,0.012668808531370576,0.003188204336080698,1.0,3,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
signed_volume_pressure_20,volume_liquidity,313,0.012839505243199874,0.012535629637494643,0.1349872491073498,0.09511643009325381,0.6858943316806253,0.5335463258785943,0.46645367412140576,positive,0.0005052034192322423,0.0005681466453431618,0.0007650637830897962,0.0008351139634788225,0.000869085328224536,0.0003638819089922937,0.0003638819089922937,0.9999999999999999,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.0169216027006253,0.008783408406522376,0.019687736902249387,0.005947374663259017,0.7031503150315032,6,Strong,core,Development-only evidence ordering; compact core also applies family diversity and redundancy
volume_cv_20,volume_liquidity,313,-0.003782125996802239,-0.00019802039610168962,0.12918116335968638,-0.029277689551931444,-0.21112442181321026,0.4984025559105431,0.5015974440894568,negative,0.0008435087785974663,0.0006802654220930476,0.0007505225188245519,0.0006989058110828108,0.000571989584084758,-0.00027151919451270836,0.00027151919451270836,-0.7,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.0046833564035357175,-0.01219368812707435,-0.0020921740653967714,-0.005482910953409025,0.4910891089108911,3,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
return_volume_corr_20,volume_liquidity,313,0.001878241019960823,-0.00372037203720372,0.12156581200837771,0.015450404920022942,0.11141445433164762,0.48881789137380194,0.5111821086261981,positive,0.0005006977486259816,0.0009324342982977948,0.000564387171147681,0.000551942283539792,0.00100775631720622,0.0005070585685802383,0.0005070585685802383,0.6,0.9989111289031225,0.0010888710968774973,99.65175718849841,96,0.007074471077029239,-0.003284892030374674,0.005142089735752412,-0.0014065298029832774,0.4823042304230423,3,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
close_location_value,candle_location,313,0.010083133465864596,0.015241524152415238,0.12630620771241516,0.0798308622235159,0.5756685342227755,0.5527156549520766,0.4472843450479233,positive,0.0005871980978293704,0.0005851448612294546,0.00033553084255937677,0.000987699265526054,0.0010449950869654476,0.0004577969891360772,0.0004577969891360772,0.6,1.0,0.0,99.76038338658147,97,0.0096363748849168,0.010527046450755398,0.012403085162969504,0.007748310283521836,0.7946078446115711,6,Strong,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
body_range_ratio,candle_location,313,0.013594587262373593,0.02066612861133997,0.1265961891390621,0.10738543833606515,0.7743674083177184,0.5846645367412141,0.41214057507987223,positive,0.00016873425176957608,0.0007739298325108632,0.0008721023130713398,0.0006982740477500598,0.0010314174379813643,0.0008626831862117881,0.0008626831862117881,0.7,1.0,0.0,99.76038338658147,97,0.009257045447270617,0.01790450142260331,0.018998570658906415,0.008155962946632228,0.9415386461833893,6,Strong,core,Development-only evidence ordering; compact core also applies family diversity and redundancy
gap_followthrough_20,candle_location,313,-0.004616812300277817,-0.007776777677767775,0.12618176019102925,-0.03658858691849223,-0.2638440524627894,0.48562300319488816,0.5143769968051118,negative,0.000973098029314672,0.0006634668259987114,0.0007847092065711495,0.0005520494327056595,0.0005772491618490155,-0.00039584886746565657,0.00039584886746565657,-0.7999999999999999,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.001334577260864513,-0.010530294921540262,-0.008084467103736762,-0.0011269289403864431,0.2673147314731473,4,Moderate,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
