year,mean_rank_ic,median_rank_ic,rank_ic_std,positive_ic_ratio,negative_ic_ratio,icir,annualized_icir,mean_ndcg5,mean_ndcg10,mean_ndcg20,mean_top5_return,mean_top10_return,mean_top5_bottom5_spread,mean_top10_bottom10_spread,number_of_dates,factor_set_name,sample_mode
2025,-0.012132429655473427,-0.0035313519020613434,0.1375617002740996,0.5,0.5,-0.08819627578969191,-0.6359923893293948,0.4784463940289588,0.47523857326967117,0.5101017160595875,0.00022740390444946315,-0.0003870247787860606,0.00025013529924291784,0.00025040361573901935,52,extended,native_coverage
2026,-0.01205706714540499,-0.04027014782540725,0.12526147712199362,0.4117647058823529,0.5882352941176471,-0.09625518892502338,-0.6941060383972906,0.46271123931103114,0.4786500196689782,0.5053427684256311,-0.0036172675816605548,4.7763749370811094e-05,-0.005978631665171465,-0.00228824735174454,34,extended,native_coverage
2024,-0.058129612326647186,-0.05922628324687769,0.15549144689144176,0.40384615384615385,0.5961538461538461,-0.37384443639032494,-2.6958305689045043,0.4680764665298169,0.4495453601769536,0.48216254994481306,-0.0008643496816759141,-0.0032332684317582286,-0.0018902881722206747,-0.003870084069224731,52,moderate_and_strong,common_sample
2025,-0.026275361662901328,-0.0314132074245427,0.18943613571635115,0.46153846153846156,0.5384615384615384,-0.13870300702419455,-1.0002016077735507,0.47458201582468296,0.47686205434731915,0.5023876575326622,0.0007839380756454842,-0.00013294163895375698,0.0008622027915078888,-0.0002553024162148463,52,moderate_and_strong,common_sample
2026,-0.014817983995381801,-0.0027962744428324986,0.13654071820425498,0.5,0.5,-0.10852428631007474,-0.7825797578482182,0.47693716029462213,0.48765754908315984,0.5030703292357631,-0.003956676802966914,2.9527563388441748e-05,-0.005057053441550347,-0.0009656879463386198,34,moderate_and_strong,common_sample
2024,-0.058129612326647186,-0.05922628324687769,0.15549144689144176,0.40384615384615385,0.5961538461538461,-0.37384443639032494,-2.6958305689045043,0.4680764665298169,0.4495453601769536,0.48216254994481306,-0.0008643496816759141,-0.0032332684317582286,-0.0018902881722206747,-0.003870084069224731,52,moderate_and_strong,native_coverage
2025,-0.026275361662901328,-0.0314132074245427,0.18943613571635115,0.46153846153846156,0.5384615384615384,-0.13870300702419455,-1.0002016077735507,0.47458201582468296,0.47686205434731915,0.5023876575326622,0.0007839380756454842,-0.00013294163895375698,0.0008622027915078888,-0.0002553024162148463,52,moderate_and_strong,native_coverage
2026,-0.014817983995381801,-0.0027962744428324986,0.13654071820425498,0.5,0.5,-0.10852428631007474,-0.7825797578482182,0.47693716029462213,0.48765754908315984,0.5030703292357631,-0.003956676802966914,2.9527563388441748e-05,-0.005057053441550347,-0.0009656879463386198,34,moderate_and_strong,native_coverage
2024,-0.054533113650013385,-0.04294419325396741,0.1549762557524286,0.40384615384615385,0.5961538461538461,-0.35188044378313615,-2.537445965786242,0.47222646953746344,0.46795979127962134,0.4956097228926678,-0.002549836670322909,-0.002534138088908459,-0.0031053858068999097,-0.0027956466524302467,52,strong_only,common_sample
2025,-0.025952472803429265,-0.032006266131693106,0.1483200500511375,0.40384615384615385,0.5961538461538461,-0.17497615996273885,-1.261771033458888,0.4698644980475683,0.4800498943680986,0.5018130675813214,2.2748257881254497e-05,-0.0002455332948933945,-0.0004255865083241286,-0.0005624233996697098,52,strong_only,common_sample
2026,-0.0267733646391462,-0.02734777017771714,0.12420723222169144,0.38235294117647056,0.6176470588235294,-0.2155539911827334,-1.5543819356805157,0.4903340568563249,0.4918020440824649,0.5044443682515661,-0.0005229992682597705,-0.00016304861518478576,0.0007003597781168749,-0.000248160824157068,34,strong_only,common_sample
